"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU","AR","CNT","FA","ID","MS","TL","VI"
"TID_NEWS_MARCH_2017_UPDATE_TITLE","Balancing Update!","Mise à jour d'équilibrage !","Update zur Änderung der Spielbalance!","¡Actualización de equilibrio!","Aggiornamento sul bilanciamento!","Balansaanpassingen!","Balanseoppdatering!","Atualização para equilibrar o jogo","Dengeleme Güncellemesi!","バランス調整を行いました！","平衡性调整！","밸런스 업데이트!","Обновление баланса!","تحديث خاص بالتوازن!","平衡性調整！","به‌روزرسانی تعدیلات!","Pembaruan Penyeimbangan!","Kemas Kini Keseimbangan!",,
"TID_NEWS_MARCH_2017_UPDATE_TEXT","• Air Defense level 9 added to Town Hall 11\n• Wall level 12 limit increased by 25\n• Stat increases to Hog Rider, Miner, Witch, Dragon and P.E.K.K.A","• Défense anti-aérienne niveau 9 ajoutée à l'hôtel de ville de niveau 11\n• Limite des remparts de niveau 12 améliorée de 25\n• Amélioration du chevaucheur de cochon, du mineur, de la sorcière, du dragon et du P.E.K.K.A","• Luftabwehr Level 9 wurde Rathaus-Level 11 hinzugefügt\n• Mauer Level 12 um 25 Stück erhöht\n• Werteverbesserungen für Schweinereiter, Tunnelgräber, Hexe, Drache und P.E.K.K.A.","• Cohetes de defensa de nivel 9 disponibles con un ayuntamiento de nivel 11.\n• 25 nuevos muros de nivel 12.\n• Mejora de las estadísticas del montapuercos, el minero, la bruja, el dragón y el P.E.K.K.A.","• Difesa aerea di livello 9 aggiunta al municipio 11\n• Limite delle mura di livello 12 aumentato di 25 unità\n• Incremento statistiche per domatore di cinghiali, minatore, strega, drago e P.E.K.K.A","• Luchtafweer level 9 toegevoegd aan stadhuislevel 11\n• Limiet voor muur van level 12 verhoogd met 25\n• Statistiekverhogingen voor de varkensruiter, de mijnwerker, de heks, de draak en P.E.K.K.A.","• Luftforsvar på nivå 9 lagt til rådhus 11\n• Grensen for murnivå 12 økt med 25\n• Villsvinrytter, graver, heks, drage og P.E.K.K.A har fått verdiene sine økt","• Defesa aérea de nível 9 adicionada ao Centro da Vila de nível 11.\n• Aumento do limite de muro de nível 12 (+25).\n• Melhorias ao Corredor, Mineiro, Bruxa, Dragão e P.E.K.K.A.","• 11. Seviye Belediye Binasına 9. Seviye Hava Savunması eklendi\n• 12. Seviye Duvar limiti 25 artırıldı\n• Yaban Domuzu Binicisi, Madenci, Cadı, Ejderha ve P.E.K.K.A birliklerinin bazı özellikleri yükseltildi","• タウンホールレベル11にレベル9の対空砲を追加\n• レベル12の壁の最大設置数を25増加\n• ホグライダー、ディガー、ネクロマンサー、ドラゴン、P.E.K.K.Aの能力を強化","• 11级大本营可解锁9级防空火箭\n• 12级城墙上限增加25块\n•增强了野猪骑士、掘地矿工、女巫、飞龙和皮卡超人","• 마을 회관 11에 대공포 레벨 9 추가\n• 레벨 12 장벽 개수 한도가 25개 증가\n• 호그 라이더, 광부, 마녀, 드래곤, P.E.K.K.A 능력치 상승","• Воздушная оборона 9-го уровня добавлена на 11-м уровне ратуши\n• К стене 12-го уровня добавлены 25 участков\n• Повышение статистики: всадник на кабане, шахтер, ведьма, дракон и П.Е.К.К.А.","• تمت إضافة دفاع جوي من المستوى 9 إلى قاعة المدينة 11\n• تمت زيادة حدود الجدار من المستوى 12 بمقدار 25\n• تمت زيادة الإحصائيات الخاصة براكب الخنزير وعامل المنجم والساحرة والتنين وبيكا","• 11級大本營可解鎖9級防空火箭\n• 12級城牆上限增加25塊\n•增強了野豬騎士、掘地礦工、女巫、飛龍和皮卡超人","• دفاع هوایی سطح 9 به تالار شهر 11 اضافه شد\n• محدودیت دیوار سطح 12 تا 25 عدد افزایش یافت\n• آمار مربوط به گراز سوار، معدنچی، ساحره، اژدها و P.E.K.K.A افزایش یافت.","• Pertahanan Udara level 9 ditambahkan ke Balai Kota level  11\n• Batas Tembok level 12 bertambah 25\n• Statistik bertambah untuk Penunggang Babi, Penambang, Nenek Sihir, Naga, dan P.E.K.K.A","• Pertahanan Udara tahap 9 ditambah ke Dewan Bandar 11\n• Had Benteng tahap 12 ditingkatkan sebanyak 25\n• Statistik ditingkatkan bagi Penunggang Khinzir, Pelombong, Ahli Sihir, Naga dan P.E.K.K.A",,
"TID_EVENT_CW_BD_TITLE","3x Clan XP Event","Événement - EXP de clan x3","Dreifache Clan-EP!","Evento de XP del clan x3","Evento XP del clan x3","3x-clan-XP-evenement","Hendelse med 3x klan-XP","Evento: 3x de XP do clã","3 Kat Klan TP’si Etkinliği","クランXP 3倍イベント","部落经验值x3活动","클랜 XP 3배 이벤트","В 3 раза больше опыта клана","حدث نقاط خبرة القبيلة ×3","部落經驗值x3活動","رویداد Clan XP سه برابر","Acara 3x XP Klan","Acara XP Klan 3x",,
"TID_EVENT_CW_BD_INFO","3 Years of Clan Wars!\n\nLevel up your Clan three times as fast!\nClan Wars active during this event earn 3x Clan XP.","3 ans de guerres de clans !\n\nAméliorez votre clan trois fois plus vite !\nPendant cet événement, les guerres de clans rapporteront le triple d’EXP de clan.","3 Jahre Clankriege!\n\nSteigt mit eurem Clan dreimal schneller Level auf!\nBei Clankriegen während des Ereignisses gibt es die 3-fache Menge Clan-EP.","¡Tres años de las guerras de clanes!\n\n¡Aumenta el nivel de tu clan tres veces más rápido!\nLas guerras de clanes activas durante el evento recibirán el triple de XP del clan.","3 anni di guerre tra clan!\n\nFai salire di livello il tuo clan 3 volte più in fretta!\nLe guerre tra clan attive durante l'evento daranno XP del clan tripli.","Al drie jaar clanoorlogen!\n\nZorg dat je clan 3x sneller in level stijgt!\nClanoorlogen die tijdens dit evenement actief zijn, verdienen drie keer zoveel clan-XP.","Tre år med klankriger!\n\nTa klanen din opp i nivå tre ganger så raskt!\nI denne hendelsen får du 3x klan-XP i aktive klankriger.","Três anos de Guerras de Clãs!\n\nFaça o seu clã subir de nível três vezes mais rápido!\nGuerras de Clãs ativas durante o evento receberão o triplo de XP do clã.","Klan Savaşlarının Üçüncü Yılı!\n\nKlanınızın seviyesini üç kat daha hızlı yükseltin!\nBu etkinlik sırasında etkin olan Klan Savaşları 3 kat Klan TP’si veriyor.","クラン対戦3周年！\n\nあなたのクランを3倍のスピードでレベルアップさせましょう！\nこの期間中に実施されたクラン対戦では、獲得できるXPが3倍になります。","部落对战推出三周年啦！\n\n部落升级速度加快为原来的3倍！\n活动期间进行部落对战，对战双方将获得3倍部落经验值！ ","클랜전 3주년!\n\n클랜을 3배 빠르게 레벨 업하세요!\n이벤트 기간 동안 클랜전을 하면 클랜 XP를 3배로 획득합니다.","Три года войнам кланов!\n\nПовышайте уровень клана в три раза быстрее!\nЗа участие в войнах кланов в ходе события дается в три раза больше опыта клана.","3 سنوات من حروب القبائل!\n\nارفع مستوى قبيلتك بسرعة أكبر 3 مرات!\n تتلقى حروب القبائل النشطة أثناء هذا الحدث 3 أضعاف نقاط الخبرة.","部落對戰推出三周年啦！\n\n部落升級速度加快為原來的3倍！\n活動期間進行部落對戰，對戰雙方將獲得3倍部落經驗值！","3 سال همراه با جنگ‌های قبیله‌!\n\nسطح قبیله خود را با سرعت سه برابر، ارتقاء دهید!\nجنگ‌های قبیله‌ای انجام شده در طول این رویداد، سه برابر Clan XP دریافت می‌کنند.","Perang Klan 3 Tahun!\n\nNaikkan level Klanmu tiga kali lebih cepat!\nPerang Klan yang aktif selama acara ini meraih 3x XP Klan.","3 Tahun Perang Klan!\n\nNaik tahap Klan anda tiga kali lebih cepat!\nPerang Klan aktif semasa acara peroleh XP Klan 3x ini.",,
"TID_OFFER_CW_TITLE","Clan Wars Pack","Pack des guerres de clans","Clankriegspaket","Lote de guerras de clanes","Pacchetto guerre tra clan","Clanoorlogenpakket","Klankrig-pakke","Pacote de Guerras de Clãs","Klan Savaşları Paketi","クラン対戦パック","部落对战礼包","클랜전 팩","Набор для войны кланов","مجموعة حروب القبائل","部落對戰特惠包","بسته جنگ‌های قبیله","Paket Perang Klan","Pek Perang Klan",,
"TID_NEWS_CW_BD_GIFTS_TITLE","Clan Gifts!","Cadeaux de clan !","Clangeschenke!","¡Regalos del clan!","Regali del clan!","Clancadeaus!","Klangaver!","Presentes do clã!","Klan Hediyeleri!","クランギフト！","部落礼物！","클랜 선물!","Клановые подарки!","هدايا القبيلة!","部落禮物！","هدایای قبیله‌ای!","Hadiah Klan!","Hadiah Klan!",,
"TID_NEWS_CW_BD_GIFTS_TEXT","Celebrate the Clan Wars Anniversary! Get bonus gems for your Clan every time you purchase <c80d8e8>Gems + Clan Gifts</c>.","Fêtez l’anniversaire des guerres de clans ! Obtenez un bonus de gemmes pour votre clan pour chaque achat de <c80d8e8>gemmes + cadeaux de clan</c>.","Feiere das Clankriegsjubiläum! Sichere deinem Clan jedes Mal Bonusjuwelen, wenn du <c80d8e8>Juwelen und Clangeschenke</c> kaufst.","¡Celebra el aniversario de las guerras de clanes! Consigue gemas extras para tu clan cada vez que compres <c80d8e8>gemas + regalos del clan</c>.","Festeggia l'anniversario delle guerre tra clan! Ottieni gemme bonus per il tuo clan con ogni acquisto di <c80d8e8>gemme + regali del clan</c>.","Vier de clanoorlogenverjaardag! Krijg bonusedelstenen voor je clangenoten iedere keer als je <c80d8e8>edelstenen + clancadeaus</c> koopt.","Feir klankrigenes jubileum! Få bonusjuveler til klanen din hver gang du kjøper <c80d8e8>juveler og klangaver</c>.","Comemore o aniversário das Guerras de Clãs! Ganhe gemas extras para o seu clã toda vez que comprar <c80d8e8>gemas + presentes do clãs</c>.","Klan Savaşları Yıl Dönümünü Kutlayın!<c80d8e8>Taş ve Klan Hediyeleri</c> aldığınızda Klanınız için bonus taş kazanın.","クラン対戦の記念日をお祝いしましょう！ <c80d8e8>エメラルド + クランギフト</c>を購入するたびに、クランのためのボーナスエメラルドをゲットできます。","部落对战周年庆！您每次购买<c80d8e8>宝石 + 部落礼物</c>，部落成员都有机会领取赠送的宝石。","클랜전 기념일을 축하해 주세요! <c80d8e8>보석+클랜 선물</c>을 구매할 때마다 클랜은 보너스 보석을 받습니다.","Отпразднуйте годовщину проведения клановых войн! Получите кристаллы в подарок за каждую покупку<c80d8e8>кристаллов и клановых подарков</c>.","احتفل بالذكرى السنوية لميلاد حدث حروب القبائل! احصل على جواهر إضافية لقبيلتك كلما اشتريت <c80d8e8>جواهر + هدايا القبيلة</c>.","部落對戰周年慶！您每次購買<c80d8e8>寶石 + 部落禮物</c>，部落成員都有機會領取贈送的寶石。","جشن سالگرد جنگ‌های قبیله‌ای! هر بار که <c80d8e8>جواهر + هدایای قبیله‌ای</c> بخرید، پاداش جواهر به قبیله شما تعلق می‌گیرد.","Rayakan Ulang Tahun Perang Klan! Dapatkan bonus permata untuk Klanmu setiap kali kamu membeli <c80d8e8>Permata + Hadiah Klan</c>.","Raikan Ulang Tahun Perang Klan! Dapatkan permata bonus untuk Klan anda setiap kali anda membeli <c80d8e8>Permata + Hadiah Klan</c>.",,
"TID_LOCAL_NOTIFICATION_EVENT_STAR_BONUS","Chief, a 4x Star Bonus event has started!","Chef, un événement bonus étoile x4 a commencé !","Häuptling, ein 4x-Sternebonusereignis hat begonnen!","¡Un evento de bonus estelar x4 ha comenzado!","Capo, è iniziato un evento bonus stella x4!","Chief, er is een 4x-sterbonusevenement gestart!","Høvding, en 4x stjernebonushendelse har startet!","Chefe, começou um evento: 4x bônus de estrela!","Şef, bir 4 Kat Yıldız Bonusu etkinliği başladı!","チーフ、星ボーナス4倍のイベントが始まりました！","首领，4倍胜利之星奖励的活动开始啦！","대장님, 별 보너스 x 4 이벤트가 시작됐습니다!","Вождь, появилась возможность получить 4 звезды в подарок!","أيها الزعيم، بدأ حدث 4 أضعاف مكافآت النجوم!","首領，4倍勝利之星獎勵的活動開始啦！","رئیس! یک رویداد 4 برابر پاداش ستاره آغاز شده است!","Chief, acara 4x Bonus Bintang telah dimulai!","Ketua, acara 4x Bonus Bintang sudah bermula!",,
"TID_NEWS_ICC_TITLE","Inside the Clan Castle","À l'intérieur du château de clan","In der Clanburg","Dentro del castillo del clan","Nel castello del clan","Een kijkje in het clankasteel","Inne i klanslottet","Dentro do Castelo do Clã","Klan Kalesinin İçinde","クランの城では…","部落战动员会","클랜 성 소식","Внутри крепости клана","داخل قلعة القبيلة","部落戰動員會","نگاهی به درون قلعه قبیله","Di dalam Kastel Klan","Dalam Istana Klan",,
"TID_NEWS_ICC_TEXT","Three years of Clan Wars is upon us!\n\nCan the Wizard rally the Elders to go to war? Will Hog Rider's bunions stand in the way of a victory? Go inside the Clan Castle to find out.","Bientôt trois ans de guerres de clans !\n\nLe sorcier saura-t-il convaincre les aînés de déclarer la guerre ? Comment marcher vers la victoire quand on a des cors aux pieds ? Pour le savoir, entrez dans le château de clan.","Wir feiern drei Jahre Clankriege!\n\nKann der Magier die Ältesten dazu bewegen, in den Kampf zu ziehen? Vermasseln die Fußprobleme des Schweinereiters ihm den Sieg? In der Clanburg findest du es heraus!","¡Las guerras de clanes ya tienen tres años!\n\n¿Podrá el mago convencer a los veteranos para ir a luchar? ¿Se interpondrán los juanetes del montapuercos en el camino a la victoria? Descúbrelo en el castillo del clan.","Le guerre tra clan compiono tre anni!\n\nLo stregone convincerà gli anziani ad andare in guerra? Il domatore di cinghiali è pronto per la battaglia? Entra nel castello del clan per scoprirlo.","We voeren al bijna drie jaar clanoorlogen!\n\nKan de tovenaar de oudsten oproepen om ten strijde te trekken? Kan de varkensruiter niet winnen, omdat hij eksterogen heeft? Ga het clankasteel binnen en ontdek het zelf.","Tre år med klankriger er over oss!\n\nKlarer sjamanen virkelig å mane seniorene til krig? Kommer villsvinrytternes liktorner til å forpurre krigsstrategien? Bli med inn i klanslottet og se selv.","São três anos de Guerra de Clãs!\n\nSerá que o Mago conseguirá reunir os anciões para a batalha? Será que o joanete do Corredor atrapalhará a vitória? Para descobrir, entre no Castelo do Clã.","Üç yıllık Klan Savaşları başlıyor!\n\nBüyücü, Büyüklerin savaşa girmesini sağlayabilecek mi? Yaban Domuzu Binicisinin nasırları zafere engel mi olacak? Öğrenmek için Klan Kalesine girin.","3年にわたるクラン対戦が始まろうとしています！\n\nウィザードは、長老たちを戦いに駆り立てることができるでしょうか？ ホグライダーは、外反母趾のせいで勝利を逃してしまうのでしょうか？ さっそくクランの城に行って確かめてみましょう！","部落对战陪伴我们快三年了！\n\n法师能否召集各长老团结一致参加部落对战？野猪骑士会因为大脚骨病临阵脱逃吗？赶紧去部落城堡里面一探究竟吧！","클랜전 3주년이 다가오고 있습니다!\n\n마법사는 장로들을 결집해 전쟁에 나갈 수 있을까요? 호그 라이더의 건막류는 승리의 장애물이 되고 말까요? 클랜 성에서 확인해 보세요!","Три года прошло с тех пор, как идут войны кланов!\n\nМожет ли колдун убедить старейшин отправиться на войну? Станет ли мозоль на ноге всадника на кабане препятствием для победы? Посетите крепость клана и узнайте сами.","حان وقت الاحتفال بمرور 3 سنوات على حروب القبائل!\n\nهل يستطيع الساحر حشد الزعماء لدخول الحرب؟ هل ستعيق تورمات إصبع قدم راكب الخنزير الانتصار؟ ادخل قلعة القبيلة لاكتشاف هذا.","部落對戰陪伴我們快三年了！\n\n法師能否召集各長老團結一致參加部落對戰？野豬騎士會因為腳趾外翻臨陣脫逃嗎？快去部落城堡裡面一探究竟吧！","کم کم به سه سالگی جنگ قبیله نزدیک می‌شویم!\n\nآیا جادوگر می‌تواند پیشکسوت‌ها را به جنگ ترغیب کند؟ آیا قوز شست پای گرازسوار سر راه پیروزی می‌ایستد؟ برای اینکه از همه این اتفاقات سردربیاورید، وارد قلعه قبیله بشوید.","Tiga tahun Perang Klan hampir tiba!\n\nMampukah Penyihir mereli Senior untuk pergi berperang? Akankah bunion si Penunggang Babi menghalangi kemenangan? Masuki Kastel Klan untuk mengetahuinya.","Perang Klan sudah berlangsung selama tiga tahun!\n\nBolehkah Ahli Sihir menyatukan Penatua untuk berperang? Adakah orang Penunggang Khinzir menghalang jalan ke arah kemenangan? Masuk ke dalam Istana Klan untuk mengetahui.",,
"TID_LOCAL_NOTIFICATION_EVENT_CLAN_XP_BD","Chief, celebrate Clan Wars with a special event, offer and more!","Chef, fêtez les guerres de clans avec un événement spécial, une offre et plus !","Häuptling, feiere das Clankrieg-Jubiläum mit einem Sonderereignis, einem Sonderangebot und mehr!","Jefe, ¡celebra las guerras de clanes con un evento especial, una oferta y mucho más!","Capo, celebra le guerre tra clan con un evento speciale, un'offerta e altro ancora!","Chief, vier clanoorlogen met een speciaal evenement, een aanbieding en meer!","Høvding, bli med å feire klankriger med en spesialhendelse, tilbud og mye mer!","Chefe, celebre as Guerras de Clãs com um evento, oferta especial, e mais!","Şef, Klan Savaşlarını özel bir etkinlik, teklif ve daha fazlasıyla kutluyoruz!","チーフ、クラン対戦を祝ってスペシャルイベントやセールなどを楽しみましょう！","首领，为庆祝部落对战三周年，游戏中推出了特别活动和优惠，还有更多精彩内容！","대장님, 특별 이벤트, 특가 상품 등으로 클랜전을 기념하세요!","Чтобы отпраздновать годовщину войн кланов, мы подготовили для вас особое событие, особое предложение и многое другое!","أيها الزعيم، احتفل بحروب القبائل واحصل على حدث خاص وعرض خاص، وأكثر!","首領，為慶祝部落對戰三周年，遊戲中推出了特別活動和優惠，還有更多精彩內容！","رئیس! جنگ‌های قبیله‌ای را با رویدادهای ویژه، پیشنهادات و غیره جشن بگیرید!","Chief, rayakan Perang Klan dengan acara dan penawaran spesial, serta masih banyak lagi!","Ketua, raikan Perang Klan dengan acara istimewa, tawaran dan banyak lagi!",,
"TID_LOCAL_NOTIFICATION_EVENT_TROOP_SPELL","Chief, a Troop & Spell combo event has started!","Chef, un événement de troupe et de sort a commencé !","Häuptling, ein Komboereignis mit einer Truppe und einem Zauber hat begonnen!","Jefe, ¡ha comenzado un evento combinado de tropa y hechizo!","Capo, è iniziato un evento combinato truppa & incantesimo!","Chief, een combo-evenement voor troepen en spreuken is gestart!","Høvding, en troppe- og formelkombohendelse har startet!","Chefe, começou um evento combo: tropa & feitiço!","Şef, bir Birlik ve Büyü kombo etkinliği başladı!","チーフ、ユニットと呪文のコンボイベントが始まりました！","首领，部队和法术活动开始啦！","대장님, 유닛 & 마법 콤보 이벤트가 시작됐습니다!","Вождь, совместное событие воинов и заклинаний началось!","أيها الزعيم، بدأ حدث يجمع بين القوات والتعويذات!","首領，部隊和法術活動開始啦！","رئیس! رویداد ترکیبی نیرو و طلسم شروع شده‌است!","Chief, acara kombo Peleton & Mantra telah dimulai!","Ketua, acara kombo Sihir & Askar sudah bermula!",,
"TID_EVENT_TROOP_SPELL","Raging Wizards Event","Événement des sorciers enragés","Wütende-Magier-Ereignis","Evento de magos furiosos","Evento stregoni furiosi","Woedende-tovenarenevenement","Rasende sjamaner-hendelse","Evento Magos Furiosos","Öfkeli Büyücüler Etkinliği","レイジウィザードイベント","法师和狂暴法术活动","분노 마법사 이벤트","Событие разъяренного колдуна","حدث السحرة الغاضبين","法師和狂暴法術活動","رویداد جادوگرهای خشمگین","Acara Penyihir Marah","Acara Ahli Sihir Berang",,
"TID_EVENT_TROOP_SPELL_INFO","Rage Spells are the Wizard’s personal favorite. Produce both at a 90% discount!","Le sorcier adore les sorts de rage. Son coût d'entraînement sera donc réduit de 90 % en même temps que celui de ces sorts !","Wutzauber sind die Lieblingszauber der Magier. Hol dir beide 90 % günstiger!","No hay nada que le guste más a un mago que un hechizo de furia. ¡Produce ambos con un 90 % de descuento!","Gli imperturbabili stregoni amano l'incantesimo Furia, ed entrambi hanno uno sconto del 90%!","De tovenaar is dol op woedespreuken. Produceer beide met 90% korting.","Raseriformler er sjamanens personlige favoritt. Nå kan du produsere begge til 90 % lavere pris!","Feitiços de Fúria são os favoritos do Mago. Produza ambos com 90% de desconto!","Öfke Büyüleri, Büyücülerin favorisidir. Hem Büyücüleri hem de Öfke Büyülerini %90 indirimli üretin!","レイジの呪文はウィザードのお気に入りです。90％オフで生成できます！","狂暴法术是法师的最爱。活动期间，训练法师、配制狂暴法术的费用直降90%！","마법사가 가장 좋아하는 마법은 분노 마법입니다. 90% 할인된 비용으로 분노 마법을 만들고 마법사를 훈련시키세요!","Любимые заклинания колдуна — заклинания ярости. Получите их со скидкой 90 %.","تعويذات الغضب هي الخيار الشخصي المفضل لدى الساحر. احصل على الاثنين بخصم 90%.","狂暴法術是法師的最愛。活動期間訓練法師、配製狂暴法術的費用直降90%！","جادوگرها علاقه خاصی به طلسم‌های خشم دارند. هر دو را با 90% تخفیف بسازید!","Mantra Amarah adalah favorit pribadi Penyihir. Buatlah keduanya dengan diskon 90%!","Sihir Berang ialah kegemaran peribadi Ahli Sihir. Hasilkan kedua-duanya pada diskaun 90%!",,
"TID_NEWS_MERCH_TITLE","The Supercell Shop BETA is Live!",,,,,,,,,,,,,,,,,,,
"TID_NEWS_MERCH_TEXT","Bring the battle home with apparel, figures, and other cool collectibles.",,,,,,,,,,,,,,,,,,,
"TID_NEWS_MERCH_BUTTON","Check it out!",,,,,,,,,,,,,,,,,,,
"TID_VILLAGE_OBJECT_SHIP","Boat (Broken)","Bateau (cassé)","Schiff (kaputt)","Barco naufragado","Barca (relitto)","Boot (kapot)","Båt (ødelagt)","Barco (quebrado)","Gemi (Enkaz)","壊れた船","帆船（损坏）","배 (부서짐)","Корабль (разбитый)","قارب (مكسور)","帆船（損壞）","قایق (شکسته)","Perahu (Rusak)","Bot (Rosak)",,
"TID_REPAIR_SHIP_TITLE","Mysterious Boat","Bateau mystérieux","Mysteriöses Schiff","Barco misterioso","Barca misteriosa","Mysterieuze boot","Mystisk båt","Barco misterioso","Gizemli Gemi","謎の船","谜之帆船","미스터리한 배","Таинственный корабль","قارب غامض","神秘的帆船","قایق اسرارآمیز","Perahu Misterius","Bot Penuh Misteri",,
"TID_REPAIR_SHIP_2","Where did this Boat come from? ","D'où vient ce bateau ? ","Wo kommt dieses Schiff her? ","¿De dónde ha salido este barco? ","Da dove arriva questa barca? ","Waar komt deze boot vandaan? ","Hvor kom denne båten fra? ","De onde saiu esse barco? ","Bu gemi de nereden çıktı? ","この船はどこから来たのでしょう？","这艘船从哪来？","이 배는 어디서 나타났을까요? ","Откуда взялся этот корабль? ","من أين أتى هذا القارب؟ ","這艘船從哪裡來？","این قایق از کجا پیدایش شده؟ ","Perahu ini datang dari mana? ","Dari mana datangnya bot ini? ",,
"TID_SHIP_BUTTON","Find out!","À vous de le découvrir !","Finde es heraus!","¡Descúbrelo!","Scoprilo!","Ontdek het nu!","Se selv!","Descubra!","Haydi bulalım!","調査する","一探究竟！","알아보세요!","Разузнать","اكتشف هذا!","一探究竟！","کشف کنید!","Cari tahu!","Ketahuinya!",,
